Version, Date, Time, Elapsed Time, Triggered, CurrentLayer, CurrentPhase, StepName, SequenceRunning, ChamberPressure, SubstrateShutterOpen, SubstrateVelocity, Substrate Heater.ActualTemperature, Substrate Heater.CalibrationTC, Substrate Heater.ActualPower, Substrate Heater.Status1, Substrate Heater.Status2, Resistive 4.ActualThickness, Resistive 4.ActualRate, Resistive 4.PercentActualPower, Resistive 4.PercentAverageActualPower, Resistive 4.MaterialName, Resistive 4.SourceError, Resistive 4.ManualMode, Resistive 4.RatePID_P, Resistive 4.RatePID_I, Resistive 4.RatePID_D, Resistive 4.RateSetpoint, Resistive 4.PercentPowerSetpoint, Resistive 4.OpenShutter, Resistive 4.Status1, Resistive 4.Status2, Radak 3 Resistive 4.Thickness, Radak 3 Resistive 4.Rate, Radak 3 Resistive 4.OpenShutter, Radak 3 Resistive 4.SensorError, Physical Sensor 2.ActiveSensor, Physical Sensor 2.ShutteredRateMode, Physical Sensor 2.Thickness, Physical Sensor 2.ThicknessMeasurement, Physical Sensor 2.Rate, Physical Sensor 2.RateMeasurement, Physical Sensor 2.AverageRate, Physical Sensor 2.FrequencyMeasurement, Physical Sensor 2.PercentRemaining, Physical Sensor 2.SensorError, Physical Sensor 2.NominalToolingFactor, Physical Sensor 2.ToolingFactor, Physical Sensor 2.Density, Physical Sensor 2.ZFactor, Physical Sensor 2.OpenShutter
5.0.10.10b1b9a6b0,2023-01-23,10:59:12.260,00:00:00.0029972,True,0,0,COMPLETE,True,8.04692263045581E-07,False,0,30.9069976806641,-9999,0,1028,16,251.427993774414,0,0,0,Aluminum,False,False,113.779998779297,34610,2850,2,0,False,2,0,250.747,0,False,False,True,False,250.747,250.747,0,0,0,5982176.63,94.3893633333333,False,50,50,2.70000004768372,1.08000004291534,False,
5.0.10.10b1b9a6b0,2023-01-23,10:59:12.410,00:00:00.1530063,True,0,0,START,True,8.03050397735205E-07,False,0,30.9069976806641,-9999,0,1028,16,0,0,0,0,Aluminum,False,False,113.779998779297,34610,2850,2,0,False,2,0,250.744,0,False,False,True,False,250.744,250.744,0,0,0,5982176.6,94.3893619047619,False,50,50,2.70000004768372,1.08000004291534,False,
5.0.10.10b1b9a6b0,2023-01-23,10:59:12.422,00:00:00.1650068,True,0,0,Step0,True,8.03050397735205E-07,False,0,30.9069976806641,-9999,0,1028,16,0,0,0,0,Aluminum,False,False,113.779998779297,34610,2850,2,0,False,2,0,250.744,0,False,False,True,False,250.744,250.744,0,0,0,5982176.6,94.3893619047619,False,50,50,2.70000004768372,1.08000004291534,False,
5.0.10.10b1b9a6b0,2023-01-23,10:59:12.453,00:00:00.1960092,True,0,1,Step1,True,8.03050397735205E-07,False,0,30.9069976806641,-9999,0,1028,16,0,0,0,0,Aluminum,False,False,113.779998779297,34610,2850,2,0,False,2,0,250.744,0,False,False,True,False,250.744,250.744,0,0,0,5982176.6,94.3893619047619,False,50,50,2.70000004768372,1.08000004291534,False,
5.0.10.10b1b9a6b0,2023-01-23,10:59:12.453,00:00:00.1960092,True,0,1,Step1,True,8.03050397735205E-07,False,0,30.9069976806641,-9999,0,1028,16,0,0,0,0,Aluminum,False,False,113.779998779297,34610,2850,2,0,False,2,0,250.744,0,False,False,True,False,250.744,250.744,0,0,0,5982176.6,94.3893619047619,False,50,50,2.70000004768372,1.08000004291534,False,
5.0.10.10b1b9a6b0,2023-01-23,10:59:12.455,00:00:00.1980137,True,0,1,Step2,True,8.03050397735205E-07,False,0,30.9069976806641,-9999,0,1028,16,0,0,0,0,Aluminum,False,False,113.779998779297,34610,2850,2,0,False,2,0,250.744,0,False,False,True,False,250.744,250.744,0,0,0,5982176.6,94.3893619047619,False,50,50,2.70000004768372,1.08000004291534,False,
5.0.10.10b1b9a6b0,2023-01-23,10:59:12.874,00:00:00.6170416,True,0,1,Step3,True,8.03458135578694E-07,False,0,30.9069976806641,-9999,0,1028,16,0,0,0,0,Aluminum,False,False,113.779998779297,34610,2850,2,0,False,2,0,250.744,0,False,False,True,False,250.744,250.744,0,0,0,5982176.6,94.3893619047619,False,50,50,2.70000004768372,1.08000004291534,False,
5.0.10.10b1b9a6b0,2023-01-23,10:59:12.886,00:00:00.6290423,True,1,0,Step4,True,8.03458135578694E-07,False,0,30.9069976806641,-9999,0,1028,16,0,0,0,0,Aluminum,False,False,113.779998779297,34610,2850,2,0,False,2,0,-0.002,0,False,False,True,False,-0.002,-0.002,0,0,0,5982176.6,94.3893619047619,False,50,50,2.70000004768372,1.08000004291534,False,
5.0.10.10b1b9a6b0,2023-01-23,10:59:12.886,00:00:00.6290423,True,1,0,Step4,True,8.03458135578694E-07,False,0,30.9069976806641,-9999,0,1028,16,0,0,0,0,Aluminum,False,False,113.779998779297,34610,2850,2,0,False,2,0,-0.002,0,False,False,True,False,-0.002,-0.002,0,0,0,5982176.6,94.3893619047619,False,50,50,2.70000004768372,1.08000004291534,False,
5.0.10.10b1b9a6b0,2023-01-23,10:59:12.951,00:00:00.6940466,True,1,0,Step5,True,8.03460977749637E-07,False,0,30.9069976806641,-9999,0,1028,16,0,0,0,0,Aluminum,False,False,113.779998779297,34610,2850,2,0,False,2,0,-0.002,0,False,False,True,False,-0.002,-0.002,0,0,0,5982176.6,94.3893619047619,False,50,50,2.70000004768372,1.08000004291534,False,
